d_donor_A,d_acceptor_A
1.553261667596484763e+00,1.077918148101308482e+00
1.553067271312127406e+00,1.078112562913080552e+00
1.552869143498522675e+00,1.078310629385181629e+00
1.552668304527569099e+00,1.078511163584922272e+00
1.552464182017543326e+00,1.078714987903935940e+00
1.552255957218150906e+00,1.078922946947318717e+00
1.552044017492936856e+00,1.079134283666324912e+00
1.551829775896006458e+00,1.079347910908446950e+00
1.551612799054124858e+00,1.079564047198775079e+00
1.551391174925400573e+00,1.079784807483397113e+00
1.551165935806729124e+00,1.080009289314881826e+00
1.550937719714434282e+00,1.080236642207454745e+00
1.550705577757341302e+00,1.080467743738061426e+00
1.550470564833121401e+00,1.080701380020720581e+00
1.550232898113385049e+00,1.080937563164998894e+00
1.549992572140695080e+00,1.081176237462195600e+00
1.549748622789796082e+00,1.081418284506666216e+00
1.549500682331424795e+00,1.081664113402894367e+00
1.549248043800452335e+00,1.081914632375859053e+00
1.548991352280677081e+00,1.082168990885440163e+00
1.548731288039199239e+00,1.082426426800188191e+00
1.548466602833156402e+00,1.082688199248225569e+00
1.548197628260901348e+00,1.082953959380431597e+00
1.547925347564093723e+00,1.083222745024316591e+00
1.547648375413144262e+00,1.083495952637989257e+00
1.547366418406126209e+00,1.083774221633560186e+00
1.547079948267235938e+00,1.084056935918439324e+00
1.546789315238516593e+00,1.084343440873763109e+00
1.546494810003238518e+00,1.084633632447725926e+00
1.546197229265954043e+00,1.084926678174090053e+00
1.545894146232892563e+00,1.085225470711949081e+00
1.545586801241598085e+00,1.085528215381711403e+00
1.545276129042117530e+00,1.085833968774207792e+00
1.544961342097834534e+00,1.086143614095012033e+00
1.544641567483322708e+00,1.086458085818516439e+00
1.544318901943746658e+00,1.086775010258643537e+00
1.543992846840660738e+00,1.087094899875161724e+00
1.543662686577985665e+00,1.087418428613256216e+00
1.543328736232448595e+00,1.087745601288225172e+00
1.542991683453413865e+00,1.088075721199619039e+00
1.542650546477934759e+00,1.088409909649429075e+00
1.542306490451536227e+00,1.088746580976353906e+00
